,0
332,7.954248003619886
333,8.487058140090939
334,8.51242443246127
335,8.613148371895154
336,8.795289424133818
337,8.307779189981616
338,8.763905081402635
339,5.6977420677880355
340,5.669546991763724
341,6.4903438814965435
342,6.43672403171169
343,9.718803232036386
344,9.161281949709078
345,9.824482753075891
346,9.608721941652862
347,9.63399312604079
348,9.574607108945242
349,9.659128666572286
350,9.66221234067403
351,9.927010902677974
352,9.61008367896341
353,10.336514969605473
354,9.806240864075507
355,10.396745619634675
356,10.146495807205296
357,10.406562472023227
358,10.344893572811412
359,10.613671817003816
360,10.561047456081925
361,10.129081275754821
362,9.319342592323036
