,0
332,0.6079960170620861
333,0.7767461515109314
334,0.8187791913456232
335,0.8415422471359949
336,0.7744503024247682
337,0.7595192630651003
338,0.7829795050827634
339,0.5781648247874406
340,0.5709893910589839
341,0.6724747282756981
342,0.5735618532571238
343,0.8714832249331967
344,0.9010483404953684
345,0.8706674302830631
346,0.8985201938892894
347,0.8664565875976292
348,0.8451011641608732
349,0.8815632162266169
350,0.9039662228191447
351,0.9335044214779142
352,0.9038916858741618
353,0.9170115344832118
354,0.9236731539769251
355,0.9207940325813846
356,0.9226035627916604
357,0.9518456862865651
358,0.9288452487531895
359,0.9521080824709071
360,0.9659887128599612
361,0.8632323770383235
362,0.9095247946983347
